system,li,ui,p95,count
bookstore_nodejs, 2099.0, 2107.0 , 2099.5 , 970
bookstore_nodejs, 14.0, 15.0 , 14 , 971
bookstore_nodejs, 18.0, 18.0 , 18 , 1002
bookstore_nodejs, 111.0, 111.0 , 111 , 1440
bookstore_nodejs, 15.0, 15.0 , 15 , 1440
bookstore_nodejs, 18.0, 18.0 , 18 , 1477
bookstore_nodejs, 201.0, 203.0 , 201.5 , 1428
bookstore_nodejs, 15.0, 15.0 , 15 , 1425
bookstore_nodejs, 19.0, 19.0 , 19 , 1469
bookstore_nodejs, 2099.0, 2107.0 , 2099.5 , 970
bookstore_nodejs, 14.0, 15.0 , 14 , 971
bookstore_nodejs, 18.0, 18.0 , 18 , 1002
bookstore_nodejs, 201.0, 203.0 , 201.5 , 1428
bookstore_nodejs, 15.0, 15.0 , 15 , 1425
bookstore_nodejs, 19.0, 19.0 , 19 , 1469
bookstore_nodejs, 28.0, 28.0 , 28 , 851
bookstore_nodejs, 36.0, 36.0 , 36 , 875
bookstore_nodejs, 4141.0, 4149.0 , 4147 , 859
bookstore_nodejs, 2099.0, 2107.0 , 2099.5 , 970
bookstore_nodejs, 14.0, 15.0 , 14 , 971
bookstore_nodejs, 18.0, 18.0 , 18 , 1002
bookstore_nodejs, 111.0, 111.0 , 111 , 1440
bookstore_nodejs, 15.0, 15.0 , 15 , 1440
bookstore_nodejs, 18.0, 18.0 , 18 , 1477
bookstore_nodejs, 14.0, 15.0 , 14 , 971
bookstore_nodejs, 18.0, 18.0 , 18 , 1002
bookstore_nodejs, 2099.0, 2107.0 , 2099.5 , 970
bookstore_nodejs, 201.0, 203.0 , 201.5 , 1428
bookstore_nodejs, 15.0, 15.0 , 15 , 1425
bookstore_nodejs, 19.0, 19.0 , 19 , 1469
bookstore_nodejs, 2099.0, 2107.0 , 2099.5 , 970
bookstore_nodejs, 14.0, 15.0 , 14 , 971
bookstore_nodejs, 18.0, 18.0 , 18 , 1002
bookstore_nodejs, 21.0, 21.0 , 21 , 735
bookstore_nodejs, 3925.0, 3934.0 , 3931 , 719
bookstore_nodejs, 17.0, 17.0 , 17 , 720
bookstore_nodejs, 15.0, 15.0 , 15 , 1437
bookstore_nodejs, 19.0, 19.0 , 19 , 1475
bookstore_nodejs, 107.0, 108.0 , 108 , 1433
bookstore_nodejs, 19.0, 19.0 , 19 , 1418
bookstore_nodejs, 425.0, 427.0 , 426.5 , 1374
bookstore_nodejs, 16.0, 16.0 , 16 , 1375
bookstore_nodejs, 92.0, 93.0 , 93 , 1440
bookstore_nodejs, 17.0, 17.0 , 17 , 1432
bookstore_nodejs, 22.0, 22.0 , 22 , 1484
bookstore_nodejs, 129.0, 131.0 , 129.5 , 1434
bookstore_nodejs, 16.0, 16.0 , 16 , 1431
bookstore_nodejs, 20.0, 20.0 , 20 , 1471
bookstore_nodejs, 1730.0, 1734.0 , 1730 , 1048
bookstore_nodejs, 16.0, 16.0 , 16 , 1055
bookstore_nodejs, 20.0, 20.0 , 20 , 1089
bookstore_nodejs, 1465.0, 1467.0 , 1465.5 , 1106
bookstore_nodejs, 15.0, 15.0 , 15 , 1112
bookstore_nodejs, 18.0, 19.0 , 18 , 1140
bookstore_nodejs, 83.0, 83.0 , 83 , 1439
bookstore_nodejs, 16.0, 16.0 , 16 , 1440
bookstore_nodejs, 20.0, 20.0 , 20 , 1479
bookstore_nodejs, 125.0, 127.0 , 125.5 , 1431
bookstore_nodejs, 16.0, 16.0 , 16 , 1435
bookstore_nodejs, 19.0, 19.0 , 19 , 1475
bookstore_nodejs, 2077.0, 2081.0 , 2077.5 , 970
bookstore_nodejs, 14.0, 15.0 , 14 , 974
bookstore_nodejs, 20.0, 20.0 , 20 , 1005
bookstore_nodejs, 3585.0, 3587.0 , 3585 , 745
bookstore_nodejs, 37.0, 38.0 , 37.5 , 744
bookstore_nodejs, 44.0, 46.0 , 45 , 760
bookstore_nodejs, 6524.0, 6543.0 , 6532 , 594
bookstore_nodejs, 36.0, 37.0 , 36 , 595
bookstore_nodejs, 50.0, 52.0 , 50.5 , 617
bookstore_nodejs, 184.0, 187.0 , 184.5 , 1423
bookstore_nodejs, 16.0, 16.0 , 16 , 1428
bookstore_nodejs, 18.0, 19.0 , 18.5 , 1469
bookstore_nodejs, 37.0, 39.0 , 37 , 975
bookstore_nodejs, 54.0, 57.0 , 55 , 1006
bookstore_nodejs, 2116.0, 2121.0 , 2119.5 , 979
bookstore_nodejs, 219.0, 220.0 , 219.5 , 1429
bookstore_nodejs, 15.0, 15.0 , 15 , 1425
bookstore_nodejs, 18.0, 18.0 , 18 , 1466
bookstore_nodejs, 1344.0, 1348.0 , 1344.5 , 1203
bookstore_nodejs, 96.0, 103.0 , 98 , 1203
bookstore_nodejs, 95.0, 98.0 , 96 , 1232
bookstore_nodejs, 6154.0, 6183.0 , 6155 , 544
bookstore_nodejs, 36.0, 39.0 , 36 , 543
bookstore_nodejs, 44.0, 45.0 , 44 , 551
bookstore_nodejs, 335.0, 341.0 , 335.5 , 1362
bookstore_nodejs, 429.0, 436.0 , 433 , 1317
bookstore_nodejs, 360.0, 363.0 , 360 , 1321
bookstore_nodejs, 52.0, 54.0 , 52 , 705
bookstore_nodejs, 6143.0, 6147.0 , 6143.5 , 686
bookstore_nodejs, 44.0, 49.0 , 46 , 692
bookstore_nodejs, 5379.0, 5385.0 , 5380.5 , 755
bookstore_nodejs, 40.0, 43.0 , 40 , 756
bookstore_nodejs, 50.0, 52.0 , 50 , 766
bookstore_nodejs, 6235.0, 6249.0 , 6236.5 , 684
bookstore_nodejs, 51.0, 55.0 , 52.5 , 688
bookstore_nodejs, 66.0, 67.0 , 66 , 696
bookstore_nodejs, 5718.0, 5744.0 , 5718.5 , 742
bookstore_nodejs, 39.0, 41.0 , 39.5 , 744
bookstore_nodejs, 56.0, 56.0 , 56 , 769
bookstore_nodejs, 4833.0, 4849.0 , 4838 , 611
bookstore_nodejs, 40.0, 42.0 , 40 , 620
bookstore_nodejs, 59.0, 60.0 , 59.5 , 634
bookstore_nodejs, 6225.0, 6244.0 , 6232 , 656
bookstore_nodejs, 30.0, 31.0 , 30 , 665
bookstore_nodejs, 40.0, 42.0 , 41 , 679
bookstore_nodejs, 6481.0, 6500.0 , 6487 , 543
bookstore_nodejs, 82.0, 92.0 , 86 , 538
bookstore_nodejs, 98.0, 109.0 , 98 , 540
bookstore_nodejs, 4104.0, 4109.0 , 4104 , 720
bookstore_nodejs, 38.0, 39.0 , 38 , 718
bookstore_nodejs, 50.0, 53.0 , 51.5 , 737
bookstore_nodejs, 51.0, 52.0 , 51 , 825
bookstore_nodejs, 3962.0, 4087.0 , 3968.5 , 804
bookstore_nodejs, 44.0, 48.0 , 45 , 805
bookstore_nodejs, 5902.0, 5924.0 , 5902.5 , 629
bookstore_nodejs, 45.0, 45.0 , 45 , 636
bookstore_nodejs, 50.0, 59.0 , 50 , 646
bookstore_nodejs, 6659.0, 6660.0 , 6659.5 , 717
bookstore_nodejs, 33.0, 33.0 , 33 , 725
bookstore_nodejs, 39.0, 39.0 , 39 , 723
bookstore_nodejs, 927.0, 935.0 , 930 , 1712
bookstore_nodejs, 73.0, 73.0 , 73 , 1717
bookstore_nodejs, 90.0, 93.0 , 90 , 1761
bookstore_nodejs, 136.0, 142.0 , 139.5 , 1891
bookstore_nodejs, 220.0, 222.0 , 220 , 1845
bookstore_nodejs, 116.0, 118.0 , 116 , 1842
bookstore_nodejs, 234.0, 236.0 , 234.5 , 1854
bookstore_nodejs, 102.0, 106.0 , 103 , 1852
bookstore_nodejs, 106.0, 110.0 , 108 , 1900
bookstore_nodejs, 2067.0, 2108.0 , 2081 , 1536
bookstore_nodejs, 222.0, 226.0 , 222.5 , 1507
bookstore_nodejs, 2060.0, 2108.0 , 2061 , 1510
bookstore_nodejs, 6659.0, 6660.0 , 6659.5 , 717
bookstore_nodejs, 33.0, 33.0 , 33 , 725
bookstore_nodejs, 39.0, 39.0 , 39 , 723
bookstore_nodejs, 4046.0, 4052.0 , 4050 , 1219
bookstore_nodejs, 63.0, 67.0 , 64.5 , 1216
bookstore_nodejs, 68.0, 75.0 , 69 , 1231
bookstore_nodejs, 73.0, 73.0 , 73 , 1717
bookstore_nodejs, 90.0, 93.0 , 90 , 1761
bookstore_nodejs, 927.0, 935.0 , 930 , 1712
bookstore_nodejs, 234.0, 236.0 , 234.5 , 1854
bookstore_nodejs, 102.0, 106.0 , 103 , 1852
bookstore_nodejs, 106.0, 110.0 , 108 , 1900
bookstore_nodejs, 358.0, 360.0 , 358 , 1826
bookstore_nodejs, 82.0, 83.0 , 82.5 , 1825
bookstore_nodejs, 90.0, 91.0 , 90 , 1869
bookstore_nodejs, 222.0, 226.0 , 222.5 , 1507
bookstore_nodejs, 2060.0, 2108.0 , 2061 , 1510
bookstore_nodejs, 2067.0, 2108.0 , 2081 , 1536
bookstore_nodejs, 1392.0, 1429.0 , 1416.5 , 1238
bookstore_nodejs, 1390.0, 1430.0 , 1390 , 1246
bookstore_nodejs, 1407.0, 1424.0 , 1407 , 1266
bookstore_nodejs, 6659.0, 6660.0 , 6659.5 , 717
bookstore_nodejs, 33.0, 33.0 , 33 , 725
bookstore_nodejs, 39.0, 39.0 , 39 , 723
bookstore_nodejs, 927.0, 935.0 , 930 , 1712
bookstore_nodejs, 73.0, 73.0 , 73 , 1717
bookstore_nodejs, 90.0, 93.0 , 90 , 1761
bookstore_nodejs, 220.0, 222.0 , 220 , 1845
bookstore_nodejs, 116.0, 118.0 , 116 , 1842
bookstore_nodejs, 136.0, 142.0 , 139.5 , 1891
bookstore_nodejs, 6659.0, 6660.0 , 6659.5 , 717
bookstore_nodejs, 33.0, 33.0 , 33 , 725
bookstore_nodejs, 39.0, 39.0 , 39 , 723
bookstore_nodejs, 4046.0, 4052.0 , 4050 , 1219
bookstore_nodejs, 63.0, 67.0 , 64.5 , 1216
bookstore_nodejs, 68.0, 75.0 , 69 , 1231
bookstore_nodejs, 73.0, 73.0 , 73 , 1717
bookstore_nodejs, 90.0, 93.0 , 90 , 1761
bookstore_nodejs, 927.0, 935.0 , 930 , 1712
bookstore_nodejs, 234.0, 236.0 , 234.5 , 1854
bookstore_nodejs, 102.0, 106.0 , 103 , 1852
bookstore_nodejs, 106.0, 110.0 , 108 , 1900
bookstore_nodejs, 6659.0, 6660.0 , 6659.5 , 717
bookstore_nodejs, 33.0, 33.0 , 33 , 725
bookstore_nodejs, 39.0, 39.0 , 39 , 723
bookstore_nodejs, 49.0, 50.0 , 49 , 426
bookstore_nodejs, 12161.0, 12252.0 , 12176 , 424
bookstore_nodejs, 31.0, 33.0 , 31 , 425
bookstore_nodejs, 858.0, 860.0 , 858 , 1747
bookstore_nodejs, 32.0, 32.0 , 32 , 1750
bookstore_nodejs, 38.0, 38.0 , 38 , 1798
bookstore_nodejs, 5345.0, 5397.0 , 5345.5 , 881
